tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
27579,The American,2010-08-31,67900000,3.8709,5.971,"[80, 18, 53]",0
43539,The Next Three Days,2010-11-18,67448651,4.6058,7.084,"[10749, 18, 53, 80]",0
42684,Skyline,2010-11-11,66984887,3.8575,5.013,"[878, 28, 53]",0
23172,The Spy Next Door,2010-01-15,66166000,3.5926,5.9,"[28, 35, 10751]",0
48415,Welcome to the South,2010-10-01,65584679,1.128,6.715,[35],0
23048,Hot Tub Time Machine,2010-03-26,64780213,4.1183,6.046,"[878, 35, 12]",0
47931,Elite Squad: The Enemy Within,2010-10-08,63027681,3.5171,7.828,"[18, 28, 80]",0
148284,Enthiran,2010-10-01,62000000,1.5431,6.583,"[28, 878, 12]",0
35688,Why Did I Get Married Too?,2010-04-02,60673972,0.9666,6.5,"[35, 10749]",0
39486,Secretariat,2010-08-20,60300000,6.2253,7.408,[18],0
11439,The Ghost Writer,2010-02-12,60300000,2.8736,6.817,"[53, 9648]",0
38357,Morning Glory,2010-11-10,60040976,2.9563,6.364,"[18, 35, 10749]",0
23169,Remember Me,2010-03-11,56000000,3.9758,7.101,"[18, 10749]",0
23742,Cop Out,2010-02-26,55600000,2.2782,5.55,"[28, 35, 80]",0
29427,The Crazies,2010-02-26,54956140,2.8482,6.307,"[9648, 27, 28]",0
26389,From Paris with Love,2010-02-04,52800000,5.1523,6.354,"[28, 80, 53]",0
22538,Scott Pilgrim vs. the World,2010-08-12,51825248,8.0253,7.485,"[28, 35, 10749]",0
48492,Detective Dee and the Mystery of the Phantom Flame,2010-09-18,51723285,2.5492,6.547,"[28, 12, 18, 9648]",0
19901,Daybreakers,2010-01-06,51417188,7.6306,6.282,"[28, 14, 878]",0
12819,Alpha and Omega,2010-07-05,50507267,2.6434,5.973,"[16, 10751, 35, 12, 10749]",0
41210,The Switch,2010-05-11,49830607,3.1601,6.231,"[35, 10749, 18]",0
61984,Space Battleship Yamato,2010-12-01,49827298,2.3002,6.454,"[878, 28, 12, 18]",0
34016,She's Out of My League,2010-03-11,49800000,6.2164,6.481,"[10749, 35]",0
34803,Death at a Funeral,2010-04-15,49050886,2.4722,5.875,[35],0
42888,How Do You Know,2010-12-17,48668907,1.959,5.326,"[35, 18, 10749]",0
48034,Little White Lies,2010-10-20,48531470,2.566,7.1,"[35, 18]",0
37950,Charlie St. Cloud,2010-07-30,48200000,2.6685,7.0,"[18, 10749]",0
41211,Heartbreaker,2010-03-17,47355187,1.2356,6.6,"[10749, 35]",0
26390,Brooklyn's Finest,2010-03-04,45700000,3.2596,6.308,"[80, 18, 53]",0
48289,The Debt,2010-09-30,45636368,1.6839,6.565,"[18, 53]",0
23631,Machete,2010-09-01,45491656,8.0539,6.337,"[28, 35, 53]",0
54186,Confessions,2010-06-04,45203103,2.7982,7.587,"[18, 53, 9648]",0
51608,The Man from Nowhere,2010-08-04,43059790,5.2591,7.701,"[28, 53, 80]",0
13477,When in Rome,2010-01-29,43042835,1.7135,5.936,"[35, 14, 10749]",0
26022,My Name Is Khan,2010-02-10,42345360,3.5779,8.032,"[18, 10749]",0
38073,Going the Distance,2010-08-27,42045846,1.8292,6.088,"[35, 18, 10749]",0
46332,Of Gods and Men,2010-09-08,41424067,1.306,6.659,"[18, 36]",0
85215,SP: The Motion Picture,2010-10-30,39674739,0.8757,8.0,"[18, 28, 53]",0
44944,For Colored Girls,2010-11-05,38000000,1.0236,6.7,[18],0
46261,Don't Be Afraid of the Dark,2010-11-06,36993168,2.1042,5.8,"[14, 27, 53]",0
97375,Detective Conan: The Lost Ship in the Sky,2010-04-17,36407407,2.5476,7.1,"[16, 80, 9648, 28]",0
35169,Furry Vengeance,2010-04-30,36236710,2.0813,5.029,"[10751, 35]",0
38031,You Will Meet a Tall Dark Stranger,2010-09-22,36015260,1.4541,5.9,"[35, 18, 10749]",0
37472,Ip Man 2,2010-04-29,36000000,0.6522,7.463,"[28, 36, 18]",0
44115,127 Hours,2010-11-12,35700000,5.3306,7.085,"[12, 18, 53]",0
39781,The Kids Are All Right,2010-07-09,34705850,1.7175,6.61,"[35, 18]",0
86184,Doraemon: Nobita's Great Battle of the Mermaid King,2010-03-06,34702573,2.0683,6.9,"[12, 10751, 16, 14]",0
